game_date,event_id,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,actual_winner,result,skip_reason,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after
2026-03-29,401810937,LA Clippers at Milwaukee Bucks,127-113,home,home,Milwaukee Bucks,Milwaukee Bucks,LA Clippers,LOSS,,25.65,10.66,11.11,14.54,14.99,800,9.0,16.36,4.09,81.79,-81.79,1918.21
2026-03-29,401810938,Miami Heat at Indiana Pacers,118-135,home,home,Indiana Pacers,Indiana Pacers,Indiana Pacers,WIN,,30.01,25.22,26.32,3.7,4.79,280,3.8,5.02,1.25,24.05,67.34,1985.54
2026-03-29,401810939,Sacramento Kings at Brooklyn Nets,99-116,away,away,Sacramento Kings,Sacramento Kings,Brooklyn Nets,LOSS,,58.34,47.83,50.0,8.34,10.52,100,2.0,16.69,4.17,82.84,-82.84,1902.71
2026-03-29,401810940,Boston Celtics at Charlotte Hornets,114-99,home,home,Charlotte Hornets,Charlotte Hornets,Boston Celtics,LOSS,,58.3,55.14,57.45,0.85,3.15,-135,1.741,2.0,0.5,9.49,-9.49,1893.22
2026-03-29,401810941,Orlando Magic at Toronto Raptors,87-139,home,home,Toronto Raptors,Toronto Raptors,Toronto Raptors,WIN,,65.54,52.61,54.95,10.58,12.93,-122,1.82,23.5,5.87,111.22,91.16,1984.38
2026-03-29,401810942,Washington Wizards at Portland Trail Blazers,88-123,away,away,Washington Wizards,Washington Wizards,Portland Trail Blazers,LOSS,,27.48,9.17,9.52,17.95,18.3,950,10.5,19.84,4.96,98.43,-98.43,1885.94
2026-03-29,401810943,Houston Rockets at New Orleans Pelicans,134-102,home,home,New Orleans Pelicans,New Orleans Pelicans,Houston Rockets,LOSS,,39.26,31.46,32.79,6.48,7.8,205,3.05,9.64,2.41,45.44,-45.44,1840.51
2026-03-29,401810944,New York Knicks at Oklahoma City Thunder,100-111,away,away,New York Knicks,New York Knicks,Oklahoma City Thunder,LOSS,,39.82,24.92,25.97,13.85,14.9,285,3.85,18.7,4.68,86.06,-86.06,1754.45
2026-03-30,401810945,Golden State Warriors at Denver Nuggets,93-116,away,away,Golden State Warriors,Golden State Warriors,Denver Nuggets,LOSS,,21.13,17.29,18.02,3.11,3.84,455,5.55,3.79,0.95,16.63,-16.63,1737.81
2026-03-30,401810946,Philadelphia 76ers at Miami Heat,109-119,home,home,Miami Heat,Miami Heat,Miami Heat,WIN,,48.88,43.65,45.45,3.42,5.23,120,2.2,6.27,1.57,27.25,32.7,1770.51
2026-03-30,401810947,Boston Celtics at Atlanta Hawks,102-112,away,away,Boston Celtics,Boston Celtics,Atlanta Hawks,LOSS,,48.37,43.65,45.45,2.91,4.72,120,2.2,5.34,1.33,23.64,-23.64,1746.88
2026-03-31,401810948,Phoenix Suns at Memphis Grizzlies,131-105,home,home,Memphis Grizzlies,Memphis Grizzlies,Phoenix Suns,LOSS,,22.23,16.0,16.67,5.56,6.23,500,6.0,6.68,1.67,29.16,-29.16,1717.72
2026-03-31,401810949,Chicago Bulls at San Antonio Spurs,114-129,away,away,Chicago Bulls,Chicago Bulls,San Antonio Spurs,LOSS,,19.73,8.03,8.33,11.4,11.7,1100,12.0,12.43,3.11,53.39,-53.39,1664.33
2026-03-31,401810950,Minnesota Timberwolves at Dallas Mavericks,124-94,home,home,Dallas Mavericks,Dallas Mavericks,Minnesota Timberwolves,LOSS,,28.39,25.22,26.32,2.07,3.16,280,3.8,2.81,0.7,11.69,-11.69,1652.65
2026-03-31,401810951,Cleveland Cavaliers at Utah Jazz,122-113,home,home,Utah Jazz,Utah Jazz,Cleveland Cavaliers,LOSS,,27.04,9.6,10.0,17.04,17.44,900,10.0,18.94,4.73,78.24,-78.24,1574.41
2026-03-31,401810952,Detroit Pistons at Oklahoma City Thunder,110-114,away,away,Detroit Pistons,Detroit Pistons,Oklahoma City Thunder,LOSS,,41.82,16.84,17.54,24.28,24.99,470,5.7,29.44,7.36,115.89,-115.89,1458.51
2026-03-31,401810953,Washington Wizards at Los Angeles Lakers,101-120,away,away,Washington Wizards,Washington Wizards,Los Angeles Lakers,LOSS,,18.97,10.11,10.53,8.45,8.86,850,9.5,9.44,2.36,34.43,-34.43,1424.08
2026-03-31,401810954,Phoenix Suns at Orlando Magic,111-115,away,away,Phoenix Suns,Phoenix Suns,Orlando Magic,LOSS,,58.51,45.73,47.62,10.89,12.78,110,2.1,20.79,5.2,74.02,-74.02,1350.07
2026-03-31,401810955,Charlotte Hornets at Brooklyn Nets,117-86,home,home,Brooklyn Nets,Brooklyn Nets,Charlotte Hornets,LOSS,,23.56,8.03,8.33,15.23,15.53,1100,12.0,16.62,4.15,56.08,-56.08,1293.99
