bet_number,game_date,season_type,season_type_text,matchup,final_score,bet_side,candidate_side,candidate_team,bet_team,display_team,actual_winner,result,skip_reason,skip_reason_label,model_prob_pct,market_no_vig_prob_pct,break_even_prob_pct,model_edge_vs_break_even_pct,model_edge_vs_market_pct,american_odds,american_odds_text,decimal_odds,raw_kelly_fraction_pct,stake_fraction_pct,stake,profit,bankroll_after,placed
1,2026-03-19,2,Regular,NYR at CBJ,3-6,skip,home,CBJ,,CBJ,CBJ,SKIP,below_min_edge,Below Min Edge,70.76,65.78,68.65,2.11,4.98,-219,-219,1.45662100456621,0.0,0.0,0.0,0.0,1000.0,False
2,2026-03-19,2,Regular,FLA at EDM,4-0,skip,away,FLA,,FLA,FLA,SKIP,below_min_edge,Below Min Edge,42.9,40.71,42.55,0.34,2.19,135,+135,2.35,0.0,0.0,0.0,0.0,1000.0,False
3,2026-03-19,2,Regular,PHI at LAK,4-3,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
4,2026-03-19,2,Regular,CHI at MIN,2-1,skip,away,CHI,,CHI,CHI,SKIP,below_min_model_prob,Below Min Model Prob,42.76,36.91,38.61,4.15,5.84,159,+159,2.59,0.0,0.0,0.0,0.0,1000.0,False
5,2026-03-19,2,Regular,SEA at NSH,1-3,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,False
6,2026-03-19,2,Regular,BUF at SJS,5-0,away,away,BUF,BUF,BUF,BUF,WIN,,,66.24,56.67,59.18,7.06,9.57,-145,-145,1.6896551724137931,17.29,5.0,50.0,34.48275862068966,1034.4827586206898,True
7,2026-03-19,2,Regular,TBL at VAN,6-2,skip,home,VAN,,VAN,TBL,SKIP,below_min_model_prob,Below Min Model Prob,36.16,25.88,27.1,9.06,10.28,269,+269,3.69,0.0,0.0,0.0,0.0,1034.4827586206898,False
8,2026-03-19,2,Regular,UTA at VGK,4-0,away,away,UTA,UTA,UTA,UTA,WIN,,,49.35,44.06,46.08,3.27,5.29,117,+117,2.17,6.06,3.03,31.32909629473339,36.655042664838064,1071.1378012855278,True
9,2026-03-20,2,Regular,FLA at CGY,1-4,skip,home,CGY,,CGY,CGY,SKIP,below_min_edge,Below Min Edge,55.94,51.62,54.13,1.81,4.32,-118,-118,1.847457627118644,0.0,0.0,0.0,0.0,1071.1378012855278,False
10,2026-03-20,2,Regular,COL at CHI,4-1,skip,home,CHI,,CHI,COL,SKIP,below_min_model_prob,Below Min Model Prob,32.16,26.17,27.32,4.83,5.98,266,+266,3.66,0.0,0.0,0.0,0.0,1071.1378012855278,False
11,2026-03-20,2,Regular,CAR at TOR,4-3,skip,home,TOR,,TOR,CAR,SKIP,below_min_model_prob,Below Min Model Prob,44.5,33.98,35.59,8.91,10.52,181,+181,2.81,0.0,0.0,0.0,0.0,1071.1378012855278,False
12,2026-03-20,2,Regular,NJD at WSH,1-2,skip,,,,,WSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1071.1378012855278,False
13,2026-03-21,2,Regular,SEA at CBJ,2-5,home,home,CBJ,CBJ,CBJ,CBJ,WIN,,,69.93,62.2,65.03,4.89,7.73,-186,-186,1.5376344086021505,14.0,5.0,53.55689006427639,28.794026916277627,1099.9318282018053,True
14,2026-03-21,2,Regular,TBL at EDM,5-2,skip,home,EDM,,EDM,TBL,SKIP,below_min_edge,Below Min Edge,47.51,44.86,46.73,0.78,2.65,114,+114,2.14,0.0,0.0,0.0,0.0,1099.9318282018053,False
15,2026-03-21,2,Regular,BUF at LAK,4-1,skip,away,BUF,,BUF,BUF,SKIP,below_min_edge,Below Min Edge,58.08,54.16,56.52,1.56,3.92,-130,-130,1.7692307692307692,0.0,0.0,0.0,0.0,1099.9318282018053,False
16,2026-03-21,2,Regular,DAL at MIN,1-2,skip,,,,,MIN,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
17,2026-03-21,2,Regular,VGK at NSH,1-4,skip,home,NSH,,NSH,NSH,SKIP,below_min_model_prob,Below Min Model Prob,47.11,41.64,43.48,3.64,5.48,130,+130,2.3,0.0,0.0,0.0,0.0,1099.9318282018053,False
18,2026-03-21,2,Regular,TOR at OTT,2-5,skip,,,,,OTT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
19,2026-03-21,2,Regular,WPG at PIT,4-5,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
20,2026-03-21,2,Regular,PHI at SJS,4-1,skip,away,PHI,,PHI,PHI,SKIP,below_min_edge,Below Min Edge,50.13,46.79,49.02,1.11,3.34,104,+104,2.04,0.0,0.0,0.0,0.0,1099.9318282018053,False
21,2026-03-21,2,Regular,STL at VAN,3-1,skip,home,VAN,,VAN,STL,SKIP,below_min_edge,Below Min Edge,46.22,42.73,44.64,1.57,3.49,124,+124,2.24,0.0,0.0,0.0,0.0,1099.9318282018053,False
22,2026-03-22,2,Regular,TBL at CGY,3-4,skip,home,CGY,,CGY,CGY,SKIP,below_min_model_prob,Below Min Model Prob,44.23,39.08,40.98,3.24,5.15,144,+144,2.44,0.0,0.0,0.0,0.0,1099.9318282018053,False
23,2026-03-22,2,Regular,NSH at CHI,3-2,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
24,2026-03-22,2,Regular,VGK at DAL,3-2,skip,,,,,VGK,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
25,2026-03-22,2,Regular,LAK at UTA,3-4,skip,,,,,UTA,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
26,2026-03-22,2,Regular,COL at WSH,3-2,skip,,,,,COL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
27,2026-03-23,2,Regular,OTT at NYR,2-1,skip,home,NYR,,NYR,OTT,SKIP,below_min_model_prob,Below Min Model Prob,46.58,37.04,38.61,7.97,9.55,159,+159,2.59,0.0,0.0,0.0,0.0,1099.9318282018053,False
28,2026-03-24,2,Regular,TOR at BOS,4-2,skip,away,TOR,,TOR,TOR,SKIP,below_min_edge,Below Min Edge,38.32,35.38,37.04,1.28,2.94,170,+170,2.7,0.0,0.0,0.0,0.0,1099.9318282018053,False
29,2026-03-24,2,Regular,NJD at DAL,6-4,skip,away,NJD,,NJD,NJD,SKIP,below_min_model_prob,Below Min Model Prob,45.23,39.88,41.67,3.57,5.36,140,+140,2.4,0.0,0.0,0.0,0.0,1099.9318282018053,False
30,2026-03-24,2,Regular,OTT at DET,3-2,skip,,,,,OTT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
31,2026-03-24,2,Regular,CAR at MTL,2-5,skip,,,,,MTL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
32,2026-03-24,2,Regular,SJS at NSH,3-6,skip,,,,,NSH,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
33,2026-03-24,2,Regular,CHI at NYI,4-3,skip,away,CHI,,CHI,CHI,SKIP,below_min_edge,Below Min Edge,44.19,39.93,41.67,2.52,4.26,140,+140,2.4,0.0,0.0,0.0,0.0,1099.9318282018053,False
34,2026-03-24,2,Regular,CBJ at PHI,3-2,skip,home,PHI,,PHI,CBJ,SKIP,below_min_edge,Below Min Edge,46.98,44.86,46.73,0.25,2.13,114,+114,2.14,0.0,0.0,0.0,0.0,1099.9318282018053,False
35,2026-03-24,2,Regular,COL at PIT,6-2,skip,home,PIT,,PIT,COL,SKIP,below_min_edge,Below Min Edge,42.25,39.82,41.67,0.58,2.43,140,+140,2.4,0.0,0.0,0.0,0.0,1099.9318282018053,False
36,2026-03-24,2,Regular,MIN at TBL,3-6,skip,away,MIN,,MIN,TBL,SKIP,below_min_edge,Below Min Edge,46.37,41.75,43.67,2.7,4.63,129,+129,2.29,0.0,0.0,0.0,0.0,1099.9318282018053,False
37,2026-03-24,2,Regular,EDM at UTA,5-2,skip,away,EDM,,EDM,EDM,SKIP,below_min_edge,Below Min Edge,48.2,44.7,46.73,1.47,3.5,114,+114,2.14,0.0,0.0,0.0,0.0,1099.9318282018053,False
38,2026-03-24,2,Regular,ANA at VAN,5-3,skip,home,VAN,,VAN,ANA,SKIP,below_min_model_prob,Below Min Model Prob,42.69,37.26,38.91,3.78,5.43,157,+157,2.5700000000000003,0.0,0.0,0.0,0.0,1099.9318282018053,False
39,2026-03-24,2,Regular,VGK at WPG,1-4,skip,away,VGK,,VGK,WPG,SKIP,below_min_edge,Below Min Edge,58.74,54.91,57.45,1.3,3.83,-135,-135,1.7407407407407407,0.0,0.0,0.0,0.0,1099.9318282018053,False
40,2026-03-25,2,Regular,BOS at BUF,4-3,skip,,,,,BOS,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1099.9318282018053,False
41,2026-03-25,2,Regular,NYR at TOR,3-4,home,home,TOR,TOR,TOR,TOR,WIN,,,52.47,45.36,47.39,5.08,7.11,111,+111,2.1100000000000003,9.65,4.82,53.06548578853726,58.902689225276376,1158.8345174270817,True
42,2026-03-26,2,Regular,ANA at CGY,3-2,home,home,CGY,CGY,CGY,ANA,LOSS,,,51.1,45.56,47.62,3.48,5.54,110,+110,2.1,6.65,3.32,38.514679431385,-38.514679431385,1120.3198379956966,True
43,2026-03-26,2,Regular,MIN at FLA,3-2,home,home,FLA,FLA,FLA,MIN,LOSS,,,49.91,40.5,42.19,7.72,9.41,137,+137,2.37,13.35,5.0,56.01599189978484,-56.01599189978484,1064.3038460959117,True
44,2026-03-26,2,Regular,NJD at NSH,4-2,skip,,,,,NJD,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1064.3038460959117,False
45,2026-03-26,2,Regular,DAL at NYI,1-2,skip,home,NYI,,NYI,NYI,SKIP,below_min_edge,Below Min Edge,49.63,47.39,49.5,0.12,2.24,102,+102,2.02,0.0,0.0,0.0,0.0,1064.3038460959117,False
46,2026-03-26,2,Regular,PIT at OTT,4-3,skip,,,,,PIT,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1064.3038460959117,False
47,2026-03-26,2,Regular,CHI at PHI,1-5,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1064.3038460959117,False
48,2026-03-26,2,Regular,SJS at STL,1-2,skip,home,STL,,STL,STL,SKIP,below_min_edge,Below Min Edge,57.32,54.32,56.9,0.43,3.0,-132,-132,1.7575757575757576,0.0,0.0,0.0,0.0,1064.3038460959117,False
49,2026-03-26,2,Regular,SEA at TBL,4-3,skip,,,,,SEA,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1064.3038460959117,False
50,2026-03-26,2,Regular,WSH at UTA,7-4,skip,home,UTA,,UTA,WSH,SKIP,below_min_edge,Below Min Edge,55.03,52.06,53.49,1.54,2.98,-115,-115,1.869565217391304,0.0,0.0,0.0,0.0,1064.3038460959117,False
51,2026-03-26,2,Regular,LAK at VAN,4-0,skip,home,VAN,,VAN,LAK,SKIP,below_min_edge,Below Min Edge,42.12,38.17,39.84,2.28,3.96,151,+151,2.51,0.0,0.0,0.0,0.0,1064.3038460959117,False
52,2026-03-26,2,Regular,EDM at VGK,4-3,away,away,EDM,EDM,EDM,EDM,WIN,,,58.36,43.19,45.25,13.11,15.17,121,+121,2.21,23.95,5.0,53.215192304795586,64.39038268880266,1128.6942287847144,True
53,2026-03-26,2,Regular,COL at WPG,3-2,skip,,,,,COL,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1128.6942287847144,False
54,2026-03-27,2,Regular,CHI at NYR,1-6,skip,away,CHI,,CHI,NYR,SKIP,below_min_edge,Below Min Edge,41.7,38.83,40.65,1.05,2.87,146,+146,2.46,0.0,0.0,0.0,0.0,1128.6942287847144,False
55,2026-03-28,2,Regular,SEA at BUF,2-3,skip,away,SEA,,SEA,BUF,SKIP,below_min_model_prob,Below Min Model Prob,43.1,37.14,38.91,4.19,5.96,157,+157,2.5700000000000003,0.0,0.0,0.0,0.0,1128.6942287847144,False
56,2026-03-28,2,Regular,NJD at CAR,2-5,skip,away,NJD,,NJD,CAR,SKIP,below_min_model_prob,Below Min Model Prob,45.15,36.12,37.88,7.28,9.04,164,+164,2.64,0.0,0.0,0.0,0.0,1128.6942287847144,False
57,2026-03-28,2,Regular,SJS at CBJ,3-2,home,home,CBJ,CBJ,CBJ,SJS,LOSS,,,71.01,63.14,65.87,5.14,7.88,-193,-193,1.5181347150259068,15.07,5.0,56.43471143923572,-56.43471143923572,1072.2595173454786,True
58,2026-03-28,2,Regular,VAN at CGY,3-7,skip,away,VAN,,VAN,CGY,SKIP,below_min_edge,Below Min Edge,42.94,40.24,42.02,0.92,2.7,138,+138,2.38,0.0,0.0,0.0,0.0,1072.2595173454786,False
59,2026-03-28,2,Regular,WPG at COL,4-2,skip,,,,,WPG,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1072.2595173454786,False
60,2026-03-28,2,Regular,PHI at DET,5-3,skip,,,,,PHI,SKIP,no_positive_kelly,No Positive Kelly,,,,,,,,,0.0,0.0,0.0,0.0,1072.2595173454786,False
